127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001204
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002357
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000804
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/js/typeahead.min.js, HTTP/1.1, 200, 0.000635
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/js/ajax_editor.js, HTTP/1.1, 200, 0.002377
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000841
127.0.0.1, 2015-06-16 12:16:29, GET, /admin/static/_2.11.2/images/files_toggle.png, HTTP/1.1, 200, 0.001186
127.0.0.1, 2015-06-16 12:16:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2015-06-16 12:16:30, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.084653
127.0.0.1, 2015-06-16 12:16:30, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.306212
127.0.0.1, 2015-06-16 12:16:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.462350
127.0.0.1, 2015-06-16 12:16:30, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.515380
